Order Id, Order Ref, Fulfilment Id, Status, CreatedOn
1211427,3001965437,1870654,Recolectado,2021-02-28T04:39:23.340Z,
1211384,3001965396,1870598,Recolectado,2021-02-28T04:25:29.022Z,
1211378,3001965388,1870592,Recolectado,2021-02-28T04:22:13.828Z,
1211370,1001965378,1870583,Recolectado,2021-02-28T04:19:52.347Z,
1211310,3001965320,1870503,Recolectado,2021-02-28T03:59:52.222Z,
1211249,3001965244,1870431,Recolectado,2021-02-28T03:34:15.195Z,
1211239,1001965135,1870420,Recolectado,2021-02-28T03:30:30.628Z,
1211203,3001964935,1870377,Recolectado,2021-02-28T03:18:16.906Z,
1211203,3001964935,1870376,Recolectado,2021-02-28T03:18:15.329Z,
1211197,3001965076,1870365,Recolectado,2021-02-28T03:16:08.006Z,
1211164,1001965071,1870336,Recolectado,2021-02-28T03:08:22.211Z,
1211136,1001964883,1870304,Recolectado,2021-02-28T03:00:05.520Z,
1211128,3001965040,1870294,Recolectado,2021-02-28T02:56:26.822Z,
1211097,3001965021,1870251,Recolectado,2021-02-28T02:45:20.741Z,
1211093,1001965016,1870247,Recolectado,2021-02-28T02:44:54.461Z,
1211091,3001965012,1870245,Recolectado,2021-02-28T02:41:58.941Z,
1211025,1001964945,1870164,Recolectado,2021-02-28T02:13:50.993Z,
1211022,1001964856,1870160,Recolectado,2021-02-28T02:12:42.968Z,
1211022,1001964856,1870159,Recolectado,2021-02-28T02:12:40.405Z,
1211022,1001964856,1870158,Recolectado,2021-02-28T02:12:39.385Z,
1211022,1001964856,1870157,Recolectado,2021-02-28T02:12:37.960Z,
1211022,1001964856,1870156,Recolectado,2021-02-28T02:12:36.596Z,
1210965,3001964788,1870085,Recolectado,2021-02-28T01:48:25.005Z,
1210961,3001964781,1870079,Recolectado,2021-02-28T01:45:14.823Z,
1210956,1001964780,1870071,Recolectado,2021-02-28T01:44:52.784Z,
1210855,1001964684,1869942,Recolectado,2021-02-28T01:02:43.819Z,
1210846,3001964675,1869931,Recolectado,2021-02-28T00:58:28.779Z,
1210840,3001964567,1869922,Recolectado,2021-02-28T00:57:05.957Z,
1210831,1001964657,1869911,Recolectado,2021-02-28T00:52:50.192Z,
1210819,1001964636,1869897,Recolectado,2021-02-28T00:48:27.235Z,
1210812,3001964532,1869890,Recolectado,2021-02-28T00:43:54.968Z,
1210791,3001964434,1869864,Recolectado,2021-02-28T00:33:43.789Z,
1210773,3001964494,1869841,Recolectado,2021-02-28T00:27:18.208Z,
1210743,1001964371,1869791,Recolectado,2021-02-28T00:13:40.984Z,
1210736,3001964437,1869783,Recolectado,2021-02-28T00:12:13.763Z,
1205407,3001956530,1869781,Recolectado,2021-02-28T00:09:50.106Z,
1210723,1001964322,1869769,Recolectado,2021-02-28T00:05:29.745Z,
1210703,3001964303,1869745,Recolectado,2021-02-27T23:59:25.302Z,
1210687,3001964285,1869730,Recolectado,2021-02-27T23:52:07.156Z,
1210663,1001964226,1869702,Recolectado,2021-02-27T23:45:35.573Z,
1210621,3001964029,1869652,Recolectado,2021-02-27T23:28:25.389Z,
1210618,3001964217,1869647,Recolectado,2021-02-27T23:25:20.401Z,
1210609,1001964206,1869637,Recolectado,2021-02-27T23:21:10.334Z,
1210588,3001964000,1869601,Recolectado,2021-02-27T23:16:06.449Z,
1210558,3001963998,1869566,Recolectado,2021-02-27T23:01:05.845Z,
1210539,3001963990,1869540,Recolectado,2021-02-27T22:56:59.119Z,
1210539,3001963990,1869539,Recolectado,2021-02-27T22:56:57.903Z,
1210476,3001964070,1869452,Recolectado,2021-02-27T22:29:19.288Z,
1210465,3001964056,1869436,Recolectado,2021-02-27T22:22:44.414Z,
1210460,3001963946,1869431,Recolectado,2021-02-27T22:18:45.111Z,
1210445,3001964043,1869416,Recolectado,2021-02-27T22:15:36.216Z,
1210418,2001963911,1869380,Recolectado,2021-02-27T22:02:10.434Z,
