fulfilment Id, SKURef, Item Id, Filled Qty 
2056270,39610052,2818557,0,
2056270,41637785,2818558,0,
2056952,40086633,2819436,0,
2057193,40330810,2819757,0,
2057284,40330810,2819867,0,
2057296,40524469,2819882,0,
2057333,40894528,2819929,0,
2057449,38349756,2820070,0,
2057452,41637764,2820074,0,
2057514,41228087,2820153,0,
2057955,40301574,2820729,0,
2057983,41232569,2820770,0,
2058390,37637181,2821325,0,
2058511,36862262,2821490,0,
2058512,40430343,2821491,0,
2058854,40904405,2821946,0,
2059159,40050089,2822373,0,
2059331,38371543,2822589,0,
2059333,38371542,2822591,0,
2059490,30586389,2822785,0,
2060227,40075633,2823760,0,
2060347,41649455,2823920,0,
2060629,19308225,2824293,0,
2060730,40785905,2824439,0,
2060772,41191730,2824499,0,
2061739,41644176,2825768,0,
2061942,37255776,2826031,0,
2062000,39383317,2826108,0,
2062071,38619943,2826203,0,
2062071,40038348,2826205,0,
2062071,40986447,2826204,0,
2062166,41641864,2826325,0,
2062313,41222636,2826508,0,
2062531,41236999,2826758,0,
2062531,41530128,2826757,0,
2062545,39610052,2826775,0,
2062545,41637785,2826776,0,
2062683,14916907,2826967,0,
2063237,41024964,2827669,0,
2063777,30623550,2828349,0,
2063778,38603115,2828350,0,
2064070,39147513,2828725,0,
2064554,40126234,2829357,0,
2064899,41641860,2829793,0,
2064970,41024964,2829886,0,
2065052,40894526,2829986,0,
2068292,41264400,2834982,0,
2068282,41628851,2834972,0,
2068851,41268779,2835892,0,
2069526,40830223,2836957,0,
2069647,40973670,2837140,0,
2069834,39995431,2837450,0,
2070609,38619943,2838645,0,
2070609,40986447,2838646,0,
2070622,41237002,2838668,0,
2070793,36620184,2838933,0,
2071313,40761590,2839730,0,
2071412,41222632,2839880,0,
2071506,41191730,2840021,0,
2115371,40381885,2906036,0,
2071998,38619943,2840758,0,
2071998,41222637,2840760,0,
2071998,41628851,2840759,0,
2071996,40894527,2840756,0,
2072439,41641859,2841454,0,
2213974,39009940,3044898,0,
2073632,41054043,2843321,0,
2073632,41628851,2843322,0,
2074347,37317825,2844423,0,
2077049,41618444,2848655,0,
2077848,41017595,2849898,0,
2078280,41618444,2850545,0,
2078759,38461131,2851259,0,
2079123,37256892,2851779,0,
2079164,38104912,2851835,0,
2079362,39386298,2852132,0,
2079558,40050089,2852429,0,
2080499,41628851,2853900,0,
2214105,40986447,3045081,0,
2080574,41628851,2854024,0,
2080687,40044737,2854200,0,
2080940,41054030,2854559,0,
2080963,41628851,2854610,0,
2081181,40894525,2854927,0,
2081257,41222632,2855035,0,
2081257,41628851,2855036,0,
2081543,40904309,2855470,0,
2081853,39610052,2855987,0,
2081853,40819973,2855988,0,
2082325,40038348,2856720,0,
2082330,38371543,2856725,0,
2116902,41054027,2908278,0,
2082540,39987594,2857035,0,
2082573,40491987,2857096,0,
2082529,41191731,2857017,0,
2082862,41618444,2857543,0,
2083473,40854949,2858514,0,
2084533,40524464,2860244,0,
2084533,41641859,2860245,0,
2087084,38123782,2864129,0,
2087093,41628851,2864146,1,
2087093,41544712,2864145,1,
2087372,38165511,2864567,0,
2087401,41222630,2864621,0,
2087440,41268781,2864670,0,
2087907,41556612,2865349,0,
2088508,39987594,2866309,0,
2088723,41222630,2866621,1,
2088723,17546789,2866620,1,
2089279,40894524,2867436,0,
2089622,41257004,2867926,0,
2090258,40935727,2868877,0,
2090276,38123834,2868907,0,
2090515,40407270,2869270,0,
2090853,40894530,2869779,0,
2091133,40634930,2870192,0,
2091237,39009925,2870356,0,
2091806,40973670,2871189,0,
2092045,40894525,2871536,0,
2092320,41556612,2871922,0,
2093059,38123782,2872904,0,
2093053,40423273,2872897,0,
2093142,41017595,2873016,0,
2093142,41017597,2873015,0,
2093306,40894525,2873249,0,
2093372,41054043,2873359,0,
2093770,41618444,2873928,0,
2093877,41556612,2874088,0,
2094156,41637778,2874516,0,
2094214,37232284,2874605,0,
2094222,41237006,2874615,0,
2094649,39610052,2875274,0,
2094649,40819973,2875275,0,
2094794,40894525,2875484,0,
2095070,40407270,2875894,0,
2095516,40075633,2876575,0,
2095591,39995476,2876700,0,
2095592,39995475,2876701,0,
2095683,41264400,2876839,0,
2095769,39009940,2876975,0,
2095769,40553583,2876974,0,
2095769,41687230,2876976,0,
2096362,40986448,2877828,0,
2096282,41017597,2877708,0,
