Y3Vyc29yOi0tLTExNDgxNV9fMTU5MDg4MjA3MzU5OA==,114815,Enviado al Cliente,1006,100224873,99695,Entregado Parcial,143035,Entregado al Cliente,'
Y3Vyc29yOi0tLTExNDExNl9fMTU5MDg3ODM1NjQ5OA==,114116,Enviado al Cliente,1008,300224194,99161,Entregado Parcial,116997,Enviado al Cliente,'
Y3Vyc29yOi0tLTExMDg3MV9fMTU5MDg2MDc4NTcyOA==,110871,Enviado al Cliente,9900,100220576,96680,Asignado,164542,Enviado al Cliente,'40801205.1591468585
Y3Vyc29yOi0tLTExMDU4MV9fMTU5MDg1OTExMTc0NQ==,110581,Enviado al Cliente,9905,100220258,96440,Fulfilment en Proceso,130047,CREATED,'WEPH00000000107451
Y3Vyc29yOi0tLTExMDU4MV9fMTU5MDg1OTExMTc0NQ==,110581,Enviado al Cliente,9905,100220258,96440,Fulfilment en Proceso,130046,CREATED,'WEPH00000000107451
Y3Vyc29yOi0tLTExMDU4MV9fMTU5MDg1OTExMTc0NQ==,110581,Enviado al Cliente,9905,100220258,96440,Fulfilment en Proceso,130042,Enviado al Cliente,'WEPH00000000107451
Y3Vyc29yOi0tLTExMDMwOF9fMTU5MDg1NzQ1NzQ2OA==,110308,Enviado al Cliente,9900,100219990,96223,Fulfilment en Proceso,161843,Enviado al Cliente,'40195301.1591456610
Y3Vyc29yOi0tLTExMDA0NV9fMTU5MDg1NTYzNDUyMw==,110045,Enviado al Cliente,1006,300219614,96018,Entregado Parcial,151740,Enviado al Cliente,'
Y3Vyc29yOi0tLTEwOTk5M19fMTU5MDg1NTMzNDA2MA==,109993,Enviado al Cliente,1008,300219513,95976,Fulfilment en Proceso,128494,Enviado al Cliente,'
Y3Vyc29yOi0tLTEwOTU2M19fMTU5MDg1MTgyNjc2OQ==,109563,Enviado al Cliente,9900,300219132,95664,Entregado Parcial,131336,Entregado al Cliente,'40343450.1591211665
Y3Vyc29yOi0tLTEwODc5Ml9fMTU5MDgyNDk4NTU1NQ==,108792,Enviado al Cliente,9905,100218256,95098,Solicitud de Devolución Iniciada,191688,Enviado al Cliente,'WEPH00000000107876
Y3Vyc29yOi0tLTEwNzExOV9fMTU5MDgwNTkzNDIzNw==,107119,Enviado al Cliente,9900,100216168,93748,Solicitud de Devolución Iniciada,553731,Enviado al Cliente,'40136485.1596498667
