Order Id, Order Ref, Fulfilment Id, Status, CreatedOn
1267102,1002050062,1937866,Recolectado,2021-03-31T16:42:47.884Z,
1267087,1002050146,1937847,Recolectado,2021-03-31T16:30:54.560Z,
1267086,3002050047,1937846,Recolectado,2021-03-31T16:30:48.949Z,
1267056,3002050002,1937812,Recolectado,2021-03-31T16:16:08.065Z,
1267045,3002050013,1937800,Recolectado,2021-03-31T16:14:09.916Z,
1267038,3002049925,1937793,Recolectado,2021-03-31T16:09:34.718Z,
1267035,1002049922,1937789,Recolectado,2021-03-31T16:06:48.232Z,
1267015,1002049991,1937767,Recolectado,2021-03-31T15:54:26.331Z,
1267007,3002049985,1937756,Recolectado,2021-03-31T15:51:04.543Z,
1266997,1002049906,1937746,Recolectado,2021-03-31T15:48:58.971Z,
1266976,3002049968,1937718,Recolectado,2021-03-31T15:37:32.586Z,
1266945,1002049881,1937686,Recolectado,2021-03-31T15:17:48.686Z,
1266914,1002049804,1937653,Recolectado,2021-03-31T14:45:59.484Z,
1266913,3002049803,1937652,Recolectado,2021-03-31T14:44:58.149Z,
1266908,1002049801,1937647,Recolectado,2021-03-31T14:35:27.259Z,
1266899,1002049793,1937637,Recolectado,2021-03-31T14:27:08.484Z,
1266878,1002049778,1937614,Recolectado,2021-03-31T14:07:12.796Z,
1266875,1002049773,1937611,Recolectado,2021-03-31T14:00:53.153Z,
1266873,3002049763,1937607,Recolectado,2021-03-31T14:00:06.096Z,
1266867,1002049768,1937603,Recolectado,2021-03-31T13:55:54.392Z,
1266861,1002049761,1937596,Recolectado,2021-03-31T13:49:46.166Z,
1266854,3002049752,1937588,Recolectado,2021-03-31T13:41:20.052Z,
1266830,1002049731,1937562,Recolectado,2021-03-31T13:07:21.322Z,
1266799,1002049706,1937529,Recolectado,2021-03-31T11:21:56.193Z,
1266775,3002049611,1937507,Recolectado,2021-03-31T09:01:38.930Z,
1266768,3002049599,1937498,Recolectado,2021-03-31T08:21:36.966Z,
1266760,3002049533,1937490,Recolectado,2021-03-31T08:01:44.217Z,
1266755,3002049595,1937484,Recolectado,2021-03-31T07:54:12.252Z,
1266741,1002049588,1937470,Recolectado,2021-03-31T07:25:06.193Z,
1266726,3002049577,1937451,Recolectado,2021-03-31T07:04:45.807Z,
