Order Id, Status, CreatedOn, SKU Refs
379215,Asignado,2020-07-28T23:32:22.317Z,{'40047211'}
379132,Fulfilment con Cancelacion,2020-07-28T23:19:24.741Z,{'40020768', '40561051', '40561053'}
378986,Asignado,2020-07-28T22:54:42.514Z,{'39175231'}
378788,Cancelado,2020-07-28T22:20:32.766Z,{'40522230'}
378565,Asignado,2020-07-28T21:37:30.255Z,{'39985870'}
378536,Entregado Parcial,2020-07-28T21:31:08.467Z,{'40435403'}
378468,Cancelado,2020-07-28T21:17:20.421Z,{'40585939'}
378288,Asignado,2020-07-28T20:37:48.290Z,{'39447933'}
378248,Asignado,2020-07-28T20:31:07.566Z,{'40619198'}
378175,Orden con Cancelacion,2020-07-28T20:16:06.949Z,{'40634043', '40657250', '40441516', '40529823'}
378128,Asignado,2020-07-28T20:06:40.132Z,{'38981436'}
377929,Fulfilment en Proceso,2020-07-28T19:31:22.985Z,{'40650280', '40767891'}
377928,Asignado,2020-07-28T19:31:08.194Z,{'37777702'}
377835,Fulfilment con Cancelacion,2020-07-28T19:11:54.922Z,{'40458649'}
377640,Solicitud de Devolución Iniciada,2020-07-28T18:32:09.809Z,{'40929323', '40767791', '40893458'}
377499,Entregado Parcial,2020-07-28T18:02:43.911Z,{'40935048'}
377397,Fulfilment en Proceso,2020-07-28T17:44:31.032Z,{'40763708'}
377184,Asignado,2020-07-28T17:01:12.790Z,{'40227011'}
376932,Asignado,2020-07-28T16:10:40.392Z,{'40564832'}
376844,Asignado,2020-07-28T15:51:40.684Z,{'31448538'}
376786,Fulfilment con Cancelacion,2020-07-28T15:39:05.862Z,{'40530377'}
376557,Asignado,2020-07-28T14:42:11.382Z,{'40564735'}
376519,Asignado,2020-07-28T14:30:06.995Z,{'40360340'}
376369,Entregado HD,2020-07-28T13:30:38.716Z,{'40247270'}
376276,Fulfilment con Cancelacion,2020-07-28T11:57:27.444Z,{'40457491', '40836344', '39396580', '40584298', '40552808', '19254193'}
376255,Asignado,2020-07-28T10:21:12.193Z,{'40186251'}
376103,Asignado,2020-07-28T06:06:14.012Z,{'31470626'}
375947,Asignado,2020-07-28T05:02:14.510Z,{'39427673'}
375751,Asignado,2020-07-28T04:14:04.056Z,{'40498353'}
375665,Orden con Cancelacion,2020-07-28T03:51:35.176Z,{'37816302'}
375634,Asignado,2020-07-28T03:45:16.507Z,{'39909116'}
375293,Cancelado,2020-07-28T02:31:19.522Z,{'40273545'}
375211,Fulfilment con Cancelacion,2020-07-28T02:10:56.518Z,{'40454665'}
375135,Asignado,2020-07-28T01:54:42.157Z,{'40227011'}
375066,Fulfilment en Proceso,2020-07-28T01:40:30.640Z,{'40354125', '40459727', '40884766', '40792533', '40442073', '30586140'}
374781,Solicitud de Devolución Iniciada,2020-07-28T00:43:09.482Z,{'40674581'}
374702,Asignado,2020-07-28T00:23:33.428Z,{'40792075'}
374426,Asignado,2020-07-27T23:22:38.173Z,{'39430426'}
374057,Orden con Cancelacion,2020-07-27T22:01:07.311Z,{'39394498'}
373691,Cancelado,2020-07-27T20:34:20.580Z,{'40273545', '40047211'}
373633,Asignado,2020-07-27T20:21:03.137Z,{'39392036'}
373391,Fulfilment con Cancelacion,2020-07-27T19:26:31.225Z,{'40380412'}
373306,Fulfilment con Cancelacion,2020-07-27T19:07:53.439Z,{'40529787', '40565073', '40598929', '40565074', '40461809'}
373042,Cancelado,2020-07-27T18:18:10.271Z,{'40247270'}
372570,Asignado,2020-07-27T16:42:27.302Z,{'40726475'}
372530,Asignado,2020-07-27T16:31:43.571Z,{'40344747'}
372380,Fulfilment en Proceso,2020-07-27T16:00:15.352Z,{'40368194'}
372338,Asignado,2020-07-27T15:48:37.006Z,{'40234963'}
371884,Asignado,2020-07-27T06:15:47.986Z,{'37994157'}
371839,Solicitud de Devolución Iniciada,2020-07-27T05:59:02.008Z,{'40472511'}
371812,Orden con Cancelacion,2020-07-27T05:46:19.814Z,{'40486049'}
371733,Fulfilment en Proceso,2020-07-27T05:18:11.250Z,{'40568137'}
371638,Asignado,2020-07-27T04:50:48.788Z,{'40427458'}
371517,Orden con Cancelacion,2020-07-27T04:16:13.482Z,{'40596155'}
371419,Fulfilment con Cancelacion,2020-07-27T03:50:26.020Z,{'40513706'}
371320,Fulfilment en Proceso,2020-07-27T03:30:04.404Z,{'40402097', '40401974', '40402037', '40402004'}
371280,Fulfilment con Cancelacion,2020-07-27T03:20:09.471Z,{'40402100'}
371222,Asignado,2020-07-27T03:07:03.842Z,{'39518859'}
371106,Solicitud de Devolución Iniciada,2020-07-27T02:44:29.349Z,{'40657388'}
371093,Fulfilment con Cancelacion,2020-07-27T02:41:49.331Z,{'40749267', '40565118', '40752801'}
371033,Orden con Cancelacion,2020-07-27T02:30:02.675Z,{'40478654'}
370909,Asignado,2020-07-27T02:04:05.435Z,{'40264062'}
370865,Fulfilment con Cancelacion,2020-07-27T01:55:52.320Z,{'40354188', '40504583', '40580622', '40694610', '40515392'}
370797,Asignado,2020-07-27T01:42:04.175Z,{'40024273'}
370703,Asignado,2020-07-27T01:22:57.634Z,{'40563890'}
370684,Asignado,2020-07-27T01:18:56.300Z,{'37621696'}
370673,Asignado,2020-07-27T01:17:00.252Z,{'39427673'}
370355,Asignado,2020-07-27T00:22:17.738Z,{'40859330'}
370260,Orden con Cancelacion,2020-07-27T00:05:34.010Z,{'40658666', '40591352', '40502278', '40642965', '40472660', '40568113', '40385950'}
370212,Asignado,2020-07-26T23:55:32.563Z,{'17915631'}
370097,Asignado,2020-07-26T23:35:51.829Z,{'40519694'}
370095,Asignado,2020-07-26T23:35:23.623Z,{'40726475'}
369982,Asignado,2020-07-26T23:12:05.896Z,{'37556301'}
369806,Fulfilment con Cancelacion,2020-07-26T22:39:43.152Z,{'40834421'}
369713,Asignado,2020-07-26T22:22:39.307Z,{'39392036'}
369567,Fulfilment con Cancelacion,2020-07-26T21:55:16.072Z,{'40580801'}
369054,Orden con Cancelacion,2020-07-26T20:00:50.467Z,{'40592356', '40616955'}
369009,Fulfilment en Proceso,2020-07-26T19:49:50.623Z,{'40503364', '40486157'}
368961,Asignado,2020-07-26T19:41:32.438Z,{'40227011'}
368706,Fulfilment con Cancelacion,2020-07-26T18:54:08.403Z,{'40622038', '40810115', '40622099'}
368616,Fulfilment con Cancelacion,2020-07-26T18:36:38.815Z,{'40664178', '40442371', '40535045', '40664183', '40752802', '40516780', '40516778'}
368601,Solicitud de Devolución Iniciada,2020-07-26T18:34:06.511Z,{'40591308', '40831277', '40385687', '40606557'}
368465,Cancelado,2020-07-26T18:06:46.264Z,{'40247270'}
368399,Solicitud de Devolución Iniciada,2020-07-26T17:56:41.975Z,{'40533162', '40472648', '40613557', '40591308', '40385795', '40450752'}
368000,Fulfilment con Cancelacion,2020-07-26T16:35:23.850Z,{'40613553'}
367949,Orden con Cancelacion,2020-07-26T16:18:21.211Z,{'39423927', '39174359', '39411581'}
367935,Asignado,2020-07-26T16:16:05.349Z,{'40535723'}
367893,Solicitud de Devolución Iniciada,2020-07-26T16:05:18.880Z,{'40869885'}
367739,Asignado,2020-07-26T15:20:19.627Z,{'39447933'}
367694,Asignado,2020-07-26T15:09:14.123Z,{'37828045'}
367481,Asignado,2020-07-26T13:44:50.798Z,{'40566893'}
367327,Solicitud de Devolución Iniciada,2020-07-26T07:30:30.327Z,{'40792084', '40470393', '40221660', '40580099', '40499886', '40792089', '40792079'}
367310,Orden con Cancelacion,2020-07-26T07:14:34.630Z,{'40567332'}
367287,Asignado,2020-07-26T06:58:26.418Z,{'40619260'}
367254,Asignado,2020-07-26T06:37:01.911Z,{'40223962'}
367056,Solicitud de Devolución Iniciada,2020-07-26T05:06:10.684Z,{'40655685'}
366970,Solicitud de Devolución Iniciada,2020-07-26T04:42:23.220Z,{'39900740', '40449896'}
366944,Asignado,2020-07-26T04:34:50.197Z,{'40300215'}
366813,Orden con Cancelacion,2020-07-26T04:07:27.851Z,{'40473232', '40316327', '40442098'}
366609,Asignado,2020-07-26T03:16:04.108Z,{'40450282'}
366608,Asignado,2020-07-26T03:16:03.827Z,{'38462645'}
366473,Orden con Cancelacion,2020-07-26T02:46:03.189Z,{'40575866'}
366387,Orden con Cancelacion,2020-07-26T02:29:41.916Z,{'40782841'}
366266,Asignado,2020-07-26T02:05:50.727Z,{'40600173'}
366139,Asignado,2020-07-26T01:38:29.192Z,{'40726475'}
365953,Fulfilment en Proceso,2020-07-26T00:58:28.710Z,{'40574279', '40431907', '40558760'}
365497,Fulfilment con Cancelacion,2020-07-25T23:36:01.247Z,{'40533933', '40560793', '40935048'}
365494,Solicitud de Devolución Iniciada,2020-07-25T23:35:37.773Z,{'40903221'}
364861,Asignado,2020-07-25T21:31:06.215Z,{'40619198'}
364812,Entregado HD,2020-07-25T21:20:53.048Z,{'40633955', '40591691', '40659641', '40659562', '40459438', '40513705', '40633956', '40442109'}
364680,Fulfilment con Cancelacion,2020-07-25T20:50:09.418Z,{'40499927', '40503397', '40472660'}
364659,Solicitud de Devolución Iniciada,2020-07-25T20:46:48.849Z,{'40639400'}
364646,Fulfilment en Proceso,2020-07-25T20:45:24.388Z,{'40457491'}
364643,Orden con Cancelacion,2020-07-25T20:44:50.223Z,{'40368091'}
364601,Fulfilment con Cancelacion,2020-07-25T20:34:20.276Z,{'40530238'}
364568,Fulfilment en Proceso,2020-07-25T20:28:19.505Z,{'40542961'}
364511,Solicitud de Devolución Iniciada,2020-07-25T20:16:04.523Z,{'40796044', '40796041', '40589355', '40516779'}
364502,Fulfilment en Proceso,2020-07-25T20:14:08.469Z,{'40561291'}
364145,Asignado,2020-07-25T19:01:02.998Z,{'40290084'}
364007,Fulfilment en Proceso,2020-07-25T18:36:09.742Z,{'40561052', '40655891', '40284943'}
363827,Fulfilment con Cancelacion,2020-07-25T18:02:23.280Z,{'40591777', '40563636'}
363359,Fulfilment en Proceso,2020-07-25T16:35:14.285Z,{'40912359', '40904454'}
363330,Solicitud de Devolución Iniciada,2020-07-25T16:31:04.063Z,{'40464421'}
363145,Orden con Cancelacion,2020-07-25T15:52:31.715Z,{'40757292', '40392433', '40591358'}
363044,Orden con Cancelacion,2020-07-25T15:30:04.977Z,{'40573029', '40441516', '40639470', '40516785'}
362941,Asignado,2020-07-25T15:01:47.107Z,{'39518930'}
362308,Orden con Cancelacion,2020-07-25T06:16:03.386Z,{'40575259', '40622194', '40580623'}
362181,Asignado,2020-07-25T05:30:02.681Z,{'40728195'}
362165,Solicitud de Devolución Iniciada,2020-07-25T05:26:35.997Z,{'40464331'}
362050,Asignado,2020-07-25T04:56:32.180Z,{'40145786'}
361875,Orden con Cancelacion,2020-07-25T04:15:02.280Z,{'39430277'}
361802,Asignado,2020-07-25T04:01:06.476Z,{'40600171'}
361787,Orden con Cancelacion,2020-07-25T03:58:48.878Z,{'40639376', '40580626', '40703030'}
361680,Cancelado,2020-07-25T03:41:01.851Z,{'40526467'}
361204,Solicitud de Devolución Iniciada,2020-07-25T02:09:04.402Z,{'40509323'}
361202,Asignado,2020-07-25T02:08:54.204Z,{'40241631'}
361119,Fulfilment en Proceso,2020-07-25T01:55:26.337Z,{'40526467'}
360811,Orden con Cancelacion,2020-07-25T01:01:09.562Z,{'40639376'}
360803,Orden con Cancelacion,2020-07-25T01:01:03.363Z,{'40622098', '40692533'}
360507,Fulfilment con Cancelacion,2020-07-25T00:13:03.151Z,{'40903221', '40385910'}
360504,Asignado,2020-07-25T00:12:54.511Z,{'40300215'}
360437,Fulfilment con Cancelacion,2020-07-24T23:59:41.096Z,{'40594485', '40594322'}
Order Id, Status, CreatedOn, SKU Refs
360075,Fulfilment con Cancelacion,2020-07-24T22:59:12.056Z,{'36619410'}
360072,Orden con Cancelacion,2020-07-24T22:58:06.799Z,{'40607045'}
360063,Cancelado,2020-07-24T22:56:29.770Z,{'40227011'}
359788,Asignado,2020-07-24T22:12:56.959Z,{'39518930'}
359741,Fulfilment con Cancelacion,2020-07-24T22:05:14.867Z,{'40677681'}
359344,Fulfilment con Cancelacion,2020-07-24T20:59:36.142Z,{'40472147', '40561286', '40692897', '40622098', '40633990', '40622323', '40622335', '40561294', '40472126', '40472151', '40622028', '40377172'}
359211,Fulfilment con Cancelacion,2020-07-24T20:36:56.243Z,{'40265840'}
359098,Orden con Cancelacion,2020-07-24T20:16:09.606Z,{'40515751', '40663699', '40435431'}
