Order Id, Order Ref, Fulfilment Id, Status, CreatedOn, Estafeta tracking Number
1113143,1001820181,1731694,Recolectado,2021-01-31T16:56:09.433Z,'
1113104,3001820131,1731637,Recolectado,2021-01-31T16:38:24.209Z,'
1113088,3001820122,1731618,Recolectado,2021-01-31T16:31:19.306Z,'
1113074,3001820115,1731601,Recolectado,2021-01-31T16:29:33.809Z,'
1113018,3001820080,1731538,Recolectado,2021-01-31T16:15:05.640Z,'
1113003,3001819981,1731501,Recolectado,2021-01-31T16:08:48.510Z,'
1112994,3001820062,1731490,Recolectado,2021-01-31T16:05:02.797Z,'
1112960,1001819953,1731445,Recolectado,2021-01-31T15:55:36.402Z,'
1112935,3001819818,1731402,Recolectado,2021-01-31T15:45:58.037Z,'
1112916,3001819905,1731377,Recolectado,2021-01-31T15:36:44.115Z,'
1112916,3001819905,1731376,Recolectado,2021-01-31T15:36:42.985Z,'
1112801,1001819713,1731225,Recolectado,2021-01-31T14:26:58.926Z,'
1112785,1001819634,1731206,Recolectado,2021-01-31T14:15:27.204Z,'
1112784,1001819701,1731205,Recolectado,2021-01-31T14:15:15.508Z,'
1112779,3001819630,1731200,Recolectado,2021-01-31T14:14:21.122Z,'
1112778,3001819698,1731199,Recolectado,2021-01-31T14:12:33.978Z,'
1112763,3001819616,1731183,Recolectado,2021-01-31T13:31:18.695Z,'
1112738,3001819665,1731152,Recolectado,2021-01-31T12:39:13.698Z,'
1112725,3001819589,1731135,Recolectado,2021-01-31T10:47:29.605Z,'
1112689,3001819519,1731085,Recolectado,2021-01-31T08:54:04.928Z,'
1112655,1001819495,1731040,Recolectado,2021-01-31T08:11:26.589Z,'
1112607,3001819421,1730979,Recolectado,2021-01-31T07:18:05.703Z,'
1112604,3001819310,1730975,Recolectado,2021-01-31T07:16:38.869Z,'
1112541,3001819261,1730890,Recolectado,2021-01-31T06:41:33.891Z,'
1112491,1001819207,1730821,Recolectado,2021-01-31T06:13:47.423Z,'
1112491,1001819207,1730820,Recolectado,2021-01-31T06:13:45.843Z,'
1112491,1001819207,1730819,Recolectado,2021-01-31T06:13:44.380Z,'
1112490,3001819206,1730818,Recolectado,2021-01-31T06:13:17.167Z,'
1112447,1001819114,1730755,Recolectado,2021-01-31T05:44:11.725Z,'
1112442,1001819176,1730748,Recolectado,2021-01-31T05:42:22.405Z,'
1112442,1001819176,1730747,Recolectado,2021-01-31T05:42:21.051Z,'
1112415,1001819062,1730718,Recolectado,2021-01-31T05:31:17.375Z,'
1112415,1001819062,1730717,Recolectado,2021-01-31T05:31:16.226Z,'
1112415,1001819062,1730716,Recolectado,2021-01-31T05:31:14.676Z,'
1112415,1001819062,1730715,Recolectado,2021-01-31T05:31:13.583Z,'
1112404,3001819035,1730695,Recolectado,2021-01-31T05:27:43.466Z,'
1112396,3001819068,1730683,Recolectado,2021-01-31T05:22:55.656Z,'
1112288,3001818933,1730542,Recolectado,2021-01-31T04:52:00.903Z,'
1112259,3001818911,1730493,Recolectado,2021-01-31T04:44:00.122Z,'
1106630,3001810343,1730473,Recolectado,2021-01-31T04:41:15.134Z,'
1112247,1001818900,1730472,Recolectado,2021-01-31T04:41:10.948Z,'
1112235,3001818781,1730452,Recolectado,2021-01-31T04:37:27.882Z,'
1112226,3001818776,1730440,Recolectado,2021-01-31T04:35:51.087Z,'
1112226,3001818776,1730439,Recolectado,2021-01-31T04:35:49.784Z,'
1112200,3001818854,1730401,Recolectado,2021-01-31T04:28:23.456Z,'
1035010,1001703155,1730391,Recolectado,2021-01-31T04:27:42.902Z,'
1112143,1001818744,1730294,Recolectado,2021-01-31T04:15:11.334Z,'
1112134,3001818635,1730284,Recolectado,2021-01-31T04:11:58.643Z,'
1112125,1001818629,1730273,Recolectado,2021-01-31T04:08:04.215Z,'
1112121,1001818627,1730269,Recolectado,2021-01-31T04:05:31.877Z,'
1112093,3001818656,1730223,Recolectado,2021-01-31T03:58:49.200Z,'
1112093,3001818656,1730222,Recolectado,2021-01-31T03:58:47.487Z,'
1112084,1001818605,1730211,Recolectado,2021-01-31T03:54:58.735Z,'
1112064,3001818636,1730180,Recolectado,2021-01-31T03:51:31.233Z,'
1112049,1001818527,1730162,Recolectado,2021-01-31T03:48:41.857Z,'
1112049,1001818527,1730161,Recolectado,2021-01-31T03:48:40.583Z,'
1112032,3001818517,1730138,Recolectado,2021-01-31T03:45:15.380Z,'
1112030,1001818569,1730136,Recolectado,2021-01-31T03:44:13.903Z,'
1112003,3001818553,1730098,Recolectado,2021-01-31T03:36:26.123Z,'
1111986,1001818457,1730079,Recolectado,2021-01-31T03:31:18.380Z,'
1111982,3001818453,1730074,Recolectado,2021-01-31T03:30:50.865Z,'
1111858,3001818234,1729916,Recolectado,2021-01-31T02:57:32.647Z,'
1111837,1001818212,1729887,Recolectado,2021-01-31T02:50:39.237Z,'
1111810,3001818197,1729856,Recolectado,2021-01-31T02:45:35.079Z,'
1111774,1001818025,1729805,Recolectado,2021-01-31T02:34:28.454Z,'
1111771,3001818155,1729802,Recolectado,2021-01-31T02:33:55.070Z,'
1111724,1001818102,1729741,Recolectado,2021-01-31T02:16:24.019Z,'
1111719,3001818058,1729738,Recolectado,2021-01-31T02:16:18.915Z,'
1111719,3001818058,1729735,Recolectado,2021-01-31T02:16:16.970Z,'
1111674,1001817979,1729669,Recolectado,2021-01-31T02:05:58.483Z,'
1111672,3001818059,1729667,Recolectado,2021-01-31T02:05:36.587Z,'
1111664,3001818053,1729655,Recolectado,2021-01-31T02:03:18.808Z,'
1111663,3001818050,1729654,Recolectado,2021-01-31T02:02:52.700Z,'
1111628,3001817958,1729601,Recolectado,2021-01-31T01:54:29.139Z,'
1111627,1001817957,1729600,Recolectado,2021-01-31T01:53:53.210Z,'
1111627,1001817957,1729599,Recolectado,2021-01-31T01:53:51.004Z,'
1111596,1001817809,1729549,Recolectado,2021-01-31T01:46:04.006Z,'
1111570,3001817815,1729509,Recolectado,2021-01-31T01:37:00.346Z,'
1111556,3001817803,1729481,Recolectado,2021-01-31T01:31:36.356Z,'
1111555,1001817802,1729480,Recolectado,2021-01-31T01:31:32.213Z,'
1111552,3001817847,1729474,Recolectado,2021-01-31T01:30:29.059Z,'
1111522,1001817793,1729431,Recolectado,2021-01-31T01:26:21.400Z,'
1111515,3001817791,1729421,Recolectado,2021-01-31T01:25:15.489Z,'
1111486,3001817688,1729363,Recolectado,2021-01-31T01:16:19.121Z,'
1105132,3001807790,1729362,Recolectado,2021-01-31T01:15:24.549Z,'
1111448,3001817743,1729300,Recolectado,2021-01-31T01:06:34.611Z,'
1111392,3001817615,1729200,Recolectado,2021-01-31T00:48:53.248Z,'
1111392,3001817615,1729199,Recolectado,2021-01-31T00:48:49.756Z,'
1111377,1001817467,1729178,Recolectado,2021-01-31T00:46:08.132Z,'
1111379,1001817548,1729174,Recolectado,2021-01-31T00:46:07.067Z,'
1111369,3001817494,1729163,Recolectado,2021-01-31T00:44:28.588Z,'
1111364,3001817589,1729156,Recolectado,2021-01-31T00:42:34.987Z,'
1111333,3001817549,1729110,Recolectado,2021-01-31T00:33:54.642Z,'
1111289,1001817395,1729046,Recolectado,2021-01-31T00:20:12.828Z,'
1111260,1001817215,1728994,Recolectado,2021-01-31T00:15:15.676Z,'
1111260,1001817215,1728988,Recolectado,2021-01-31T00:15:12.550Z,'
1111265,3001817299,1728982,Recolectado,2021-01-31T00:15:05.345Z,'
1111237,1001817343,1728936,Recolectado,2021-01-31T00:07:55.451Z,'
1111237,1001817343,1728935,Recolectado,2021-01-31T00:07:54.258Z,'
1111233,1001817335,1728921,Recolectado,2021-01-31T00:05:27.340Z,'
1111217,1001817207,1728893,Recolectado,2021-01-31T00:02:13.463Z,'
1111216,1001817315,1728890,Recolectado,2021-01-31T00:02:01.271Z,'
1111216,1001817315,1728889,Recolectado,2021-01-31T00:01:59.912Z,'
1111202,3001817203,1728862,Recolectado,2021-01-30T23:58:50.530Z,'
1111180,3001817189,1728800,Recolectado,2021-01-30T23:52:15.353Z,'
1111174,3001817279,1728789,Recolectado,2021-01-30T23:51:03.913Z,'
1111139,1001817250,1728733,Recolectado,2021-01-30T23:44:28.463Z,'
1111111,1001817121,1728691,Recolectado,2021-01-30T23:34:11.491Z,'
1111072,3001817079,1728631,Recolectado,2021-01-30T23:20:13.469Z,'
1111046,1001817007,1728597,Recolectado,2021-01-30T23:15:36.350Z,'
1111049,3001816933,1728595,Recolectado,2021-01-30T23:15:36.080Z,'
1111029,1001817013,1728572,Recolectado,2021-01-30T23:10:03.011Z,'
1111029,1001817013,1728571,Recolectado,2021-01-30T23:10:01.120Z,'
1111027,3001817011,1728569,Recolectado,2021-01-30T23:09:28.659Z,'
1111017,1001817039,1728554,Recolectado,2021-01-30T23:06:33.654Z,'
1110986,1001816984,1728513,Recolectado,2021-01-30T22:58:43.226Z,'
1110986,1001816984,1728512,Recolectado,2021-01-30T22:58:41.687Z,'
1110986,1001816984,1728511,Recolectado,2021-01-30T22:58:40.329Z,'
1110978,1001816979,1728492,Recolectado,2021-01-30T22:56:05.291Z,'
1110968,1001816904,1728479,Recolectado,2021-01-30T22:52:58.786Z,'
1110955,1001816888,1728461,Recolectado,2021-01-30T22:47:43.020Z,'
1110913,1001816734,1728404,Recolectado,2021-01-30T22:33:23.416Z,'
1110908,3001816847,1728397,Recolectado,2021-01-30T22:31:28.544Z,'
1110834,1001816784,1728295,Recolectado,2021-01-30T22:13:33.033Z,'
1110831,1001816780,1728289,Recolectado,2021-01-30T22:12:24.728Z,'
1110801,1001816676,1728242,Recolectado,2021-01-30T22:03:08.198Z,'
1110799,1001816674,1728237,Recolectado,2021-01-30T22:02:42.880Z,'
1110780,1001816666,1728214,Recolectado,2021-01-30T21:59:09.398Z,'
1110780,1001816666,1728213,Recolectado,2021-01-30T21:59:06.755Z,'
1110774,1001816618,1728203,Recolectado,2021-01-30T21:56:45.085Z,'
1110759,3001816654,1728185,Recolectado,2021-01-30T21:52:58.041Z,'
1110759,3001816654,1728184,Recolectado,2021-01-30T21:52:56.829Z,'
1110759,3001816654,1728182,Recolectado,2021-01-30T21:52:54.247Z,'
1110750,3001816651,1728171,Recolectado,2021-01-30T21:51:19.427Z,'
1110746,1001816589,1728163,Recolectado,2021-01-30T21:49:28.587Z,'
1110743,1001816643,1728158,Recolectado,2021-01-30T21:47:37.554Z,'
1110727,3001816534,1728137,Recolectado,2021-01-30T21:45:32.976Z,'
1110719,3001816524,1728128,Recolectado,2021-01-30T21:42:33.423Z,'
1110700,1001816509,1728097,Recolectado,2021-01-30T21:31:32.354Z,'
1110687,1001816541,1728078,Recolectado,2021-01-30T21:29:35.812Z,'
1110679,1001816536,1728068,Recolectado,2021-01-30T21:26:01.024Z,'
1110640,1001816478,1728013,Recolectado,2021-01-30T21:15:07.889Z,'
1110640,1001816478,1728011,Recolectado,2021-01-30T21:15:04.862Z,'
1110640,1001816478,1728010,Recolectado,2021-01-30T21:15:03.389Z,'
1110615,1001816468,1727973,Recolectado,2021-01-30T21:06:04.070Z,'
1110602,3001816461,1727951,Recolectado,2021-01-30T21:03:10.467Z,'
1110594,1001816456,1727943,Recolectado,2021-01-30T21:01:37.588Z,'
1110579,3001816353,1727925,Recolectado,2021-01-30T20:59:00.487Z,'
1110558,3001816326,1727893,Recolectado,2021-01-30T20:53:26.610Z,'
1110537,3001816201,1727863,Recolectado,2021-01-30T20:48:37.437Z,'
1110536,3001816299,1727862,Recolectado,2021-01-30T20:47:43.487Z,'
1110523,3001816165,1727842,Recolectado,2021-01-30T20:45:47.682Z,'
1110523,3001816165,1727841,Recolectado,2021-01-30T20:45:46.190Z,'
1110525,3001816179,1727830,Recolectado,2021-01-30T20:45:40.045Z,'
1110508,1001816286,1727816,Recolectado,2021-01-30T20:43:42.644Z,'
