Y3Vyc29yOi0tLTE3Mjg2MjZfXzE2MTIwNDg3MzYyODk=,1728626,Enviado al Cliente,1006,3001817073,1111068,Fulfilment en Proceso,1601676,Enviado al Cliente,'7058634782651703929657
Y3Vyc29yOi0tLTE3Mjg2MjBfXzE2MTIwNDg2ODM3NzA=,1728620,Enviado al Cliente,1001,1001817033,1111064,Fulfilment en Proceso,1602027,Enviado al Cliente,'0018634787651603254864
Y3Vyc29yOi0tLTE3Mjg2MTVfXzE2MTIwNDg2MzMyMjE=,1728615,Enviado al Cliente,1006,1001817066,1111060,Fulfilment en Proceso,1601631,Enviado al Cliente,'3058634782651703929654
Y3Vyc29yOi0tLTE3Mjg2MDdfXzE2MTIwNDg1NTQ2Njg=,1728607,Enviado al Cliente,1004,3001817027,1111054,Fulfilment en Proceso,1600886,Enviado al Cliente,'8058697926651701642939
Y3Vyc29yOi0tLTE3Mjg2MDRfXzE2MTIwNDg1NDE1OTE=,1728604,Enviado al Cliente,1006,3001816990,1111053,Fulfilment en Proceso,1601792,Enviado al Cliente,'9018634782651602290991
Y3Vyc29yOi0tLTE3Mjg2MDJfXzE2MTIwNDg1NDAyMDk=,1728602,Enviado al Cliente,1008,3001816977,1111051,Fulfilment en Proceso,1602664,Enviado al Cliente,'3018618555651602276804
Y3Vyc29yOi0tLTE3Mjg1OTZfXzE2MTIwNDg1MzYxNTA=,1728596,Enviado al Cliente,1007,1001816978,1111045,Fulfilment en Proceso,1603438,Enviado al Cliente,'5058717029651704146620
Y3Vyc29yOi0tLTE3Mjg1OTRfXzE2MTIwNDg1MzQ2ODE=,1728594,Enviado al Cliente,1008,3001817062,1111044,Fulfilment en Proceso,1601909,Enviado al Cliente,'8058618555651703539214
Y3Vyc29yOi0tLTE3Mjg1OTNfXzE2MTIwNDg1MjY3MjA=,1728593,Enviado al Cliente,1009,1001817061,1111043,Fulfilment en Proceso,1602159,Enviado al Cliente,'7018634793651603262567
Y3Vyc29yOi0tLTE3Mjg1ODZfXzE2MTIwNDg0MjU3OTI=,1728586,Enviado al Cliente,1009,3001817022,1111038,Fulfilment en Proceso,1605656,Enviado al Cliente,'9058634793651703895933
Y3Vyc29yOi0tLTE3Mjg1NzlfXzE2MTIwNDgyOTAyMTc=,1728579,Enviado al Cliente,1009,2001817057,1111033,Fulfilment en Proceso,1604134,Enviado al Cliente,'0018634793651603262631
