Order Id, Order Ref, Fulfilment Id, Status, CreatedOn
1293536,1002089170,1969847,Recolectado,2021-04-14T23:24:05.800Z,
1293536,1002089170,1969846,Recolectado,2021-04-14T23:24:03.644Z,
1293533,1002089167,1969842,Recolectado,2021-04-14T23:21:41.133Z,
1293518,2002089277,1969824,Recolectado,2021-04-14T23:16:18.823Z,
1293482,3002089247,1969780,Recolectado,2021-04-14T23:05:28.827Z,
1293456,3002089122,1969750,Recolectado,2021-04-14T22:56:52.731Z,
1293399,1002089060,1969681,Recolectado,2021-04-14T22:35:22.067Z,
1293293,3002088965,1969555,Recolectado,2021-04-14T21:56:39.582Z,
1293248,1002088822,1969499,Recolectado,2021-04-14T21:43:43.435Z,
1293227,1002088795,1969471,Recolectado,2021-04-14T21:37:04.162Z,
1293224,1002088840,1969466,Recolectado,2021-04-14T21:34:27.958Z,
1293165,3002088732,1969389,Recolectado,2021-04-14T21:12:24.305Z,
1293122,3002088688,1969342,Recolectado,2021-04-14T20:57:02.713Z,
1293119,1002088582,1969338,Recolectado,2021-04-14T20:54:47.695Z,
1293104,1002088667,1969320,Recolectado,2021-04-14T20:46:30.577Z,
1293081,3002088643,1969299,Recolectado,2021-04-14T20:39:16.827Z,
1293025,1002088497,1969232,Recolectado,2021-04-14T20:18:10.451Z,
1292952,3002088433,1969148,Recolectado,2021-04-14T19:46:17.795Z,
1292938,1002088422,1969131,Recolectado,2021-04-14T19:43:49.930Z,
1292879,1002088263,1969036,Recolectado,2021-04-14T19:18:39.547Z,
1292748,1002088076,1968864,Recolectado,2021-04-14T18:34:12.879Z,
1292729,1002088140,1968841,Recolectado,2021-04-14T18:30:19.003Z,
1292728,3002088139,1968840,Recolectado,2021-04-14T18:30:13.893Z,
1292714,3002088016,1968825,Recolectado,2021-04-14T18:22:44.940Z,
1292676,1002088047,1968777,Recolectado,2021-04-14T18:12:08.891Z,
1292648,3002087962,1968737,Recolectado,2021-04-14T18:02:22.827Z,
1292621,3002087941,1968699,Recolectado,2021-04-14T17:55:14.639Z,
1292612,3002087830,1968680,Recolectado,2021-04-14T17:50:14.867Z,
1292612,3002087830,1968678,Recolectado,2021-04-14T17:50:12.608Z,
1292573,1002087876,1968624,Recolectado,2021-04-14T17:37:58.911Z,
1292558,3002087866,1968605,Recolectado,2021-04-14T17:31:10.009Z,
1292551,2002087789,1968599,Recolectado,2021-04-14T17:30:33.608Z,
1292542,3002087859,1968589,Recolectado,2021-04-14T17:27:02.570Z,
1292520,1002087841,1968564,Recolectado,2021-04-14T17:14:47.469Z,
1292511,3002087753,1968552,Recolectado,2021-04-14T17:09:41.243Z,
1292480,3002087740,1968517,Recolectado,2021-04-14T16:54:16.703Z,
1292478,1002087737,1968516,Recolectado,2021-04-14T16:53:49.909Z,
1292478,1002087737,1968514,Recolectado,2021-04-14T16:53:47.861Z,
1292478,1002087737,1968513,Recolectado,2021-04-14T16:53:46.088Z,
1292474,3002087635,1968508,Recolectado,2021-04-14T16:52:01.422Z,
1292467,3002087700,1968497,Recolectado,2021-04-14T16:45:36.985Z,
1292450,1002087614,1968484,Recolectado,2021-04-14T16:42:28.093Z,
1292434,3002087690,1968463,Recolectado,2021-04-14T16:32:08.087Z,
1292425,3002087688,1968452,Recolectado,2021-04-14T16:30:38.535Z,
1292412,1002087589,1968439,Recolectado,2021-04-14T16:25:07.984Z,
1292399,3002087670,1968425,Recolectado,2021-04-14T16:19:24.271Z,
1292362,1002087645,1968378,Recolectado,2021-04-14T16:04:05.101Z,
1292343,2002087545,1968356,Recolectado,2021-04-14T15:49:51.074Z,
1292318,1002087519,1968325,Recolectado,2021-04-14T15:40:25.497Z,
1292306,1002087417,1968311,Recolectado,2021-04-14T15:33:09.653Z,
1292283,3002087406,1968285,Recolectado,2021-04-14T15:23:03.796Z,
1292245,1002087384,1968245,Recolectado,2021-04-14T15:07:48.797Z,
1292240,3002087383,1968239,Recolectado,2021-04-14T15:05:10.669Z,
1292204,3002087363,1968194,Recolectado,2021-04-14T14:47:49.476Z,
1292197,3002087298,1968185,Recolectado,2021-04-14T14:45:36.897Z,
1292190,1002087357,1968180,Recolectado,2021-04-14T14:41:49.168Z,
1292177,1002087296,1968166,Recolectado,2021-04-14T14:27:24.843Z,
1292147,1002087272,1968130,Recolectado,2021-04-14T14:12:07.029Z,
1292125,3002087123,1968107,Recolectado,2021-04-14T13:55:08.134Z,
1292058,1002087090,1968029,Recolectado,2021-04-14T12:45:36.513Z,
1292047,3002087193,1968016,Recolectado,2021-04-14T12:07:00.226Z,
1292045,3002087190,1968014,Recolectado,2021-04-14T12:04:39.725Z,
1292026,3002087075,1967991,Recolectado,2021-04-14T10:43:22.695Z,
1292025,1002087176,1967990,Recolectado,2021-04-14T10:40:19.186Z,
1292015,3002087162,1967971,Recolectado,2021-04-14T09:00:58.983Z,
1292004,3002087055,1967958,Recolectado,2021-04-14T08:02:53.302Z,
1291994,1002087036,1967946,Recolectado,2021-04-14T07:31:05.579Z,
1291988,3002087029,1967939,Recolectado,2021-04-14T07:11:34.862Z,
1291982,3002086935,1967932,Recolectado,2021-04-14T06:59:02.291Z,
1291974,3002087015,1967924,Recolectado,2021-04-14T06:49:08.558Z,
1291974,3002087015,1967923,Recolectado,2021-04-14T06:49:07.016Z,
1291974,3002087015,1967922,Recolectado,2021-04-14T06:49:05.241Z,
1291974,3002087015,1967921,Recolectado,2021-04-14T06:49:03.738Z,
1291917,3002086883,1967860,Recolectado,2021-04-14T05:48:25.483Z,
1291879,3002086827,1967814,Recolectado,2021-04-14T05:22:43.175Z,
1291875,3002086824,1967810,Recolectado,2021-04-14T05:20:56.430Z,
1291869,1002086845,1967803,Recolectado,2021-04-14T05:11:30.243Z,
1291833,1002086534,1967764,Recolectado,2021-04-14T04:43:48.518Z,
1291815,1002086529,1967745,Recolectado,2021-04-14T04:37:40.139Z,
1291807,3002086524,1967737,Recolectado,2021-04-14T04:33:25.732Z,
1291806,1002086771,1967736,Recolectado,2021-04-14T04:33:13.592Z,
1291797,1002086726,1967725,Recolectado,2021-04-14T04:30:35.682Z,
1291791,1002086762,1967719,Recolectado,2021-04-14T04:29:05.994Z,
1291775,1002086748,1967700,Recolectado,2021-04-14T04:21:53.976Z,
1291775,1002086748,1967698,Recolectado,2021-04-14T04:21:49.885Z,
1291771,1002086743,1967692,Recolectado,2021-04-14T04:19:22.199Z,
1291760,3002086736,1967681,Recolectado,2021-04-14T04:16:01.871Z,
1291733,3002086705,1967653,Recolectado,2021-04-14T04:02:09.707Z,
1291678,1002086650,1967588,Recolectado,2021-04-14T03:39:22.835Z,
1291658,3002086622,1967568,Recolectado,2021-04-14T03:27:42.249Z,
1291653,1002086613,1967563,Recolectado,2021-04-14T03:26:02.155Z,
1291626,3002086458,1967532,Recolectado,2021-04-14T03:16:03.152Z,
1291625,3002086571,1967531,Recolectado,2021-04-14T03:15:52.393Z,
1291614,3002086560,1967520,Recolectado,2021-04-14T03:08:07.893Z,
1291578,1002086427,1967481,Recolectado,2021-04-14T02:54:44.990Z,
1291570,1002086234,1967473,Recolectado,2021-04-14T02:49:45.745Z,
1291514,1002086204,1967412,Recolectado,2021-04-14T02:30:04.670Z,
1291503,1002086209,1967400,Recolectado,2021-04-14T02:21:21.223Z,
1291490,3002086331,1967385,Recolectado,2021-04-14T02:11:50.617Z,
1291432,2002086174,1967323,Recolectado,2021-04-14T01:41:14.815Z,
1291399,1002086258,1967287,Recolectado,2021-04-14T01:28:38.106Z,
1291383,3002086150,1967269,Recolectado,2021-04-14T01:16:32.743Z,
1291365,1002086133,1967248,Recolectado,2021-04-14T01:10:44.550Z,
1291323,1002085930,1967194,Recolectado,2021-04-14T00:51:36.870Z,
1291272,2002085908,1967135,Recolectado,2021-04-14T00:33:18.333Z,
1291267,1002086046,1967127,Recolectado,2021-04-14T00:31:07.916Z,
1291215,1002086000,1967063,Recolectado,2021-04-14T00:05:33.630Z,
1291199,3002085945,1967042,Recolectado,2021-04-14T00:00:06.112Z,
1291189,3002085981,1967035,Recolectado,2021-04-13T23:57:04.445Z,
1291168,2002085954,1967008,Recolectado,2021-04-13T23:49:28.802Z,
1291158,1002085938,1966995,Recolectado,2021-04-13T23:40:13.053Z,
1291139,1002085819,1966973,Recolectado,2021-04-13T23:33:11.021Z,
1291115,1002085800,1966947,Recolectado,2021-04-13T23:25:38.003Z,
1291105,2002085788,1966936,Recolectado,2021-04-13T23:20:09.893Z,
1291097,1002085719,1966928,Recolectado,2021-04-13T23:15:28.841Z,
1291085,3002085763,1966913,Recolectado,2021-04-13T23:07:40.672Z,
1290872,3002085452,1966670,Recolectado,2021-04-13T21:33:55.053Z,
1290848,1002085431,1966643,Recolectado,2021-04-13T21:27:56.743Z,
1290839,3002085418,1966632,Recolectado,2021-04-13T21:21:46.796Z,
1290809,3002085391,1966596,Recolectado,2021-04-13T21:08:41.502Z,
1290724,3002085246,1966503,Recolectado,2021-04-13T20:23:59.846Z,
1290722,3002085202,1966501,Recolectado,2021-04-13T20:23:29.637Z,
1290716,3002085242,1966495,Recolectado,2021-04-13T20:20:48.079Z,
1290673,1002085026,1966444,Recolectado,2021-04-13T19:59:38.894Z,
1290667,1002085146,1966437,Recolectado,2021-04-13T19:51:55.200Z,
1290621,1002084994,1966387,Recolectado,2021-04-13T19:23:59.781Z,
