Cursor, order Id, order Ref, order Status, fulfilment Id, fulfilment Status, to Address Ref, article Id, article Status
Cursor, order Id, order Ref, order Status, fulfilment Id, fulfilment Status, to Address Ref, article Id, article Status
Cursor, order Id, order Ref, order Status, fulfilment Id, fulfilment Status, to Address Ref, article Id, article Status
